color,color_name,hex,R,G,B,simplified_color
air_force_blue_raf,Air Force Blue (Raf),#5d8aa8,93,138,168,Blue
air_force_blue_usaf,Air Force Blue (Usaf),#00308f,0,48,143,Blue
air_superiority_blue,Air Superiority Blue,#72a0c1,114,160,193,Blue
alice_blue,Alice Blue,#f0f8ff,240,248,255,Blue
alloy_orange,Alloy Orange,#c46210,196,98,16,Orange
android_green,Android Green,#a4c639,164,198,57,Green
anti_flash_white,Anti-Flash White,#f2f3f4,242,243,244,White
antique_white,Antique White,#faebd7,250,235,215,White
apple_green,Apple Green,#8db600,141,182,0,Green
army_green,Army Green,#4b5320,75,83,32,Green
arylide_yellow,Arylide Yellow,#e9d66b,233,214,107,Yellow
baby_blue,Baby Blue,#89cff0,137,207,240,Blue
baby_blue_eyes,Baby Blue Eyes,#a1caf1,161,202,241,Blue
baby_pink,Baby Pink,#f4c2c2,244,194,194,Pink
ball_blue,Ball Blue,#21abcd,33,171,205,Blue
banana_yellow,Banana Yellow,#ffe135,255,225,53,Yellow
barn_red,Barn Red,#7c0a02,124,10,2,Red
beau_blue,Beau Blue,#bcd4e6,188,212,230,Blue
black,Black,#000,0,0,0,Black
black_bean,Black Bean,#3d0c02,61,12,2,Black
black_leather_jacket,Black Leather Jacket,#253529,37,53,41,Black
black_olive,Black Olive,#3b3c36,59,60,54,Black
blizzard_blue,Blizzard Blue,#ace5ee,172,229,238,Blue
blue,Blue,#00f,0,0,255,Blue
blue_bell,Blue Bell,#a2a2d0,162,162,208,Blue
blue_crayola,Blue (Crayola),#1f75fe,31,117,254,Blue
blue_gray,Blue Gray,#69c,102,153,204,Blue
blue_green,Blue-Green,#0d98ba,13,152,186,Green
blue_munsell,Blue (Munsell),#0093af,0,147,175,Blue
blue_ncs,Blue (Ncs),#0087bd,0,135,189,Blue
blue_pigment,Blue (Pigment),#339,51,51,153,Blue
blue_ryb,Blue (Ryb),#0247fe,2,71,254,Blue
blue_sapphire,Blue Sapphire,#126180,18,97,128,Blue
blue_violet,Blue-Violet,#8a2be2,138,43,226,Blue
bondi_blue,Bondi Blue,#0095b6,0,149,182,Blue
boston_university_red,Boston University Red,#c00,204,0,0,Red
bottle_green,Bottle Green,#006a4e,0,106,78,Green
brandeis_blue,Brandeis Blue,#0070ff,0,112,255,Blue
brick_red,Brick Red,#cb4154,203,65,84,Red
bright_green,Bright Green,#6f0,102,255,0,Green
bright_pink,Bright Pink,#ff007f,255,0,127,Pink
brink_pink,Brink Pink,#fb607f,251,96,127,Pink
british_racing_green,British Racing Green,#004225,0,66,37,Green
brown_traditional,Brown (Traditional),#964b00,150,75,0,Brown
brown_web,Brown (Web),#a52a2a,165,42,42,Brown
burnt_orange,Burnt Orange,#c50,204,85,0,Orange
cadet_blue,Cadet Blue,#5f9ea0,95,158,160,Blue
cadmium_green,Cadmium Green,#006b3c,0,107,60,Green
cadmium_orange,Cadmium Orange,#ed872d,237,135,45,Orange
cadmium_red,Cadmium Red,#e30022,227,0,34,Red
cadmium_yellow,Cadmium Yellow,#fff600,255,246,0,Yellow
cal_poly_green,Cal Poly Green,#1e4d2b,30,77,43,Green
cambridge_blue,Cambridge Blue,#a3c1ad,163,193,173,Blue
cameo_pink,Cameo Pink,#efbbcc,239,187,204,Pink
camouflage_green,Camouflage Green,#78866b,120,134,107,Green
canary_yellow,Canary Yellow,#ffef00,255,239,0,Yellow
candy_apple_red,Candy Apple Red,#ff0800,255,8,0,Red
candy_pink,Candy Pink,#e4717a,228,113,122,Pink
caribbean_green,Caribbean Green,#0c9,0,204,153,Green
carmine_pink,Carmine Pink,#eb4c42,235,76,66,Pink
carmine_red,Carmine Red,#ff0038,255,0,56,Red
carnation_pink,Carnation Pink,#ffa6c9,255,166,201,Pink
carolina_blue,Carolina Blue,#99badd,153,186,221,Blue
carrot_orange,Carrot Orange,#ed9121,237,145,33,Orange
catalina_blue,Catalina Blue,#062a78,6,42,120,Blue
celadon_blue,Celadon Blue,#007ba7,0,123,167,Blue
celadon_green,Celadon Green,#2f847c,47,132,124,Green
celestial_blue,Celestial Blue,#4997d0,73,151,208,Blue
cerise_pink,Cerise Pink,#ec3b83,236,59,131,Pink
cerulean_blue,Cerulean Blue,#2a52be,42,82,190,Blue
cg_blue,Cg Blue,#007aa5,0,122,165,Blue
cg_red,Cg Red,#e03c31,224,60,49,Red
charm_pink,Charm Pink,#e68fac,230,143,172,Pink
cherry_blossom_pink,Cherry Blossom Pink,#ffb7c5,255,183,197,Pink
china_pink,China Pink,#de6fa1,222,111,161,Pink
chinese_red,Chinese Red,#aa381e,170,56,30,Red
chrome_yellow,Chrome Yellow,#ffa700,255,167,0,Yellow
cocoa_brown,Cocoa Brown,#d2691e,210,105,30,Brown
columbia_blue,Columbia Blue,#9bddff,155,221,255,Blue
congo_pink,Congo Pink,#f88379,248,131,121,Pink
cool_black,Cool Black,#002e63,0,46,99,Black
copper_red,Copper Red,#cb6d51,203,109,81,Red
coral_red,Coral Red,#ff4040,255,64,64,Red
cornell_red,Cornell Red,#b31b1b,179,27,27,Red
cornflower_blue,Cornflower Blue,#6495ed,100,149,237,Blue
dark_blue,Dark Blue,#00008b,0,0,139,Blue
dark_brown,Dark Brown,#654321,101,67,33,Brown
dark_candy_apple_red,Dark Candy Apple Red,#a40000,164,0,0,Red
dark_electric_blue,Dark Electric Blue,#536878,83,104,120,Blue
dark_gray,Dark Gray,#a9a9a9,169,169,169,Gray
dark_green,Dark Green,#013220,1,50,32,Green
dark_imperial_blue,Dark Imperial Blue,#00416a,0,65,106,Blue
dark_jungle_green,Dark Jungle Green,#1a2421,26,36,33,Green
dark_midnight_blue,Dark Midnight Blue,#036,0,51,102,Blue
dark_olive_green,Dark Olive Green,#556b2f,85,107,47,Green
dark_orange,Dark Orange,#ff8c00,255,140,0,Orange
dark_pastel_blue,Dark Pastel Blue,#779ecb,119,158,203,Blue
dark_pastel_green,Dark Pastel Green,#03c03c,3,192,60,Green
dark_pastel_purple,Dark Pastel Purple,#966fd6,150,111,214,Purple
